의결일,사건번호,의결번호,조치,사건명,수집키워드
2021-04-20,2019안정0072,의결2021-103,과징금,(주)현대엘앤씨의 부당한 광고행위에 대한 건,환경
2021-01-07,2018안정2753,의결2021-010,과징금,(주)윈체의 부당한 광고행위에 대한 건,환경
2020-12-29,2019안정0071,의결2020-349,과징금,(주)케이씨씨의 부당한 표시광고행위에 대한 건,환경
2020-12-29,2018전사3470,의결2020-348,시정명령,청주흥덕지역주택조합 관련 3개사의 부당한 광고행위에 대한 건,그린
2020-09-08,2016부사1847,약식2020-053,시정명령,(주)바이맘의 부당한 광고행위에 대한 건,환경
2020-09-01,2020서소0635,의결2020-255,과징금,(주)비엠제약의 부당한 표시광고행위에 대한 건,환경
2020-05-07,2018전사1875,의결2020-115,경고,세종파이낸스센터Ⅲ 분양 관련 3개 사업자의 부당한 광고행위에 대한 건,그린
2020-04-29,2017서소2524,의결2020-096,시정명령,(주)수인재두뇌과학의 부당한 표시광고행위에 대한 건,환경
2020-04-29,2017서소2229,의결2020-097,시정명령,(주)편두리의 부당한 표시광고행위에 대한 건,환경
2020-02-06,2018안정0523,의결2020-041,고발,(주)메타노이아의 부당한 표시광고행위에 대한 건,환경
2019-10-14,2016서소3831,의결2019-253,시정명령,(주)케이티의 부당한 표시광고에 대한 건,환경
2019-06-17,2016서소2524,의결2019-128,과징금,엘지전자(주)의 부당한 광고행위에 대한 건,환경
2019-05-23,2017안정0801,의결2019-112,고발,한국닛산주식회사 및 일산자동차주식회사의 부당한 표시광고행위에 대한 건,환경
2019-03-28,2016안정2264,의결2019-076,과징금,(주)게이트비젼 및 게이트비젼(주)의 부당한 광고행위에 대한 건,환경
2019-03-26,2015안정3305,의결2019-075,과징금,한국암웨이(주)의 부당한 광고행위에 대한 건,환경
2018-11-26,2017전사2242,약식2018-097,시정명령,(주)에브릿의 부당한 광고행위에 대한 건,환경
2018-10-18,2016안정2270,약식2018-084,시정명령,오텍캐리어(주)의 부당한 광고행위에 대한 건,환경
2018-10-05,2015안정3303,의결2018-299,과징금,(주)제이에스피인터내셔날의 부당한 광고행위에 대한 건,환경
2018-10-04,2015안정3306,의결2018-297,경고,엘지전자(주)의 부당한 광고행위에 대한 건,환경
2018-10-04,2015안정3117,의결2018-296,무혐의,삼성전자판매(주)의 부당한 광고행위에 대한 건,환경
2018-10-04,2016안정2251,의결2018-296,과징금,삼성전자(주)의 부당한 광고행위에 대한 건,환경
2018-10-04,2015안정3304,의결2018-298,과징금,코웨이(주)의 부당한 표시·광고행위에 대한 건,환경
2018-10-02,2016안정2259,의결2018-291,시정명령,(주)에어비타의 부당한 광고행위에 대한 건,환경
2018-10-02,2016안정2257,의결2018-293,과징금,쿠쿠홈시스(주) 및 쿠쿠홀딩스(주)의 부당한 광고행위에 대한 건,환경
2018-10-02,2016안정2253,의결2018-292,시정명령,에스케이매직(주)의 부당한 광고행위에 대한 건,환경
2018-10-01,2016안정2252,의결2018-289,과징금,청호나이스(주)의 부당한 광고행위에 대한 건,환경
2018-10-01,2017안정1315,의결2018-287,과징금,(주)코스모앤컴퍼니의 부당한 광고행위에 대한 건,환경
2018-10-01,2015안정3301,의결2018-288,과징금,(주)대유위니아의 부당한 광고행위에 대한 건,환경
2018-10-01,2016안정2256,의결2018-286,과징금,(주)위닉스의 부당한 광고행위에 대한 건,환경
2018-10-01,2016안정2258,의결2018-285,시정명령,(주)교원의 부당한 광고행위에 대한 건,환경
2018-03-20,2017안정2406,의결2018-095,과징금,(주)이마트 및 애경산업(주)의 부당한 표시행위에 대한 건,환경
2018-03-19,2017안정2404,의결2018-093,고발,애경산업(주) 및 에스케이케미칼(주)의 부당한 표시광고 행위에 대한 건,환경
2018-03-19,2018안정0665,의결2018-093,고발,에스케이디스커버리(주)의 부당한 표시행위에 대한 건,환경
2018-02-28,2018안정0665,결정2018-020,고발,에스케이디스커버리(주)의 부당한 표시행위에 대한 건,환경
2018-02-12,2017안정2404,결정2018-018,고발,애경산업(주) 및 에스케이케미칼(주)의 부당한 표시광고 행위에 대한 건,환경
2017-08-09,2015안정2910,약식2017-085,시정명령,(주)엔퓨텍의 부당한 광고행위에 대한 건,환경
2017-04-07,2017소심0874,재결2017-036,재결기각,(주)지더블유홀딩스의 부당한 광고행위에 대한 건 관련 이의신청에 대한 건,그린
2017-02-23,2016서소1842,의결2017-076,과징금,(주)새천매트의 부당한 광고행위에 대한 건,환경
2017-01-26,2016안정1620,의결2017-052,무혐의,한국닛산(주)의 부당한 광고행위에 대한 건,환경
2017-01-26,2015안정2622,의결2017-036,과징금,한국쓰리엠(주)의 부당한 표시행위에 대한 건,환경
2017-01-26,2015안정2619,의결2017-037,과징금,(주)두원전자의 부당한 표시.광고행위에 대한 건,그린
2017-01-19,2016안정2102,의결2017-024,고발,3개 자동차 제조·판매사업자의  부당한 표시·광고행위에 대한 건,환경
2017-01-19,2016안정2102,결정2017-004,고발,3개 자동차 제조·판매사업자의  부당한 표시·광고행위에 대한 건,환경
2017-01-10,2016광사2236,약식2017-003,시정명령,(주)지더블유홀딩스의 부당한 광고행위에 대한 건,그린
2016-10-10,2014서소2991,약식2016-111,시정명령,(주)케이티의 부당한 광고행위에 대한 건,환경
2016-10-05,2016서소2572,의결2016-282,심의절차종료,(주)이마트 및 애경산업(주)의 부당한 표시광고행위에 대한 건,환경
2016-10-05,2016서소2191,의결2016-285,심의절차종료,애경산업(주) 및 에스케이케미칼(주)의 부당한 표시광고행위에 대한 건,환경
2015-11-19,2015광사1608,약식2015-181,시정명령,(주)태리의 부당한 광고행위에 대한 건,환경
2015-05-19,2014안정3759,의결2015-165,경고인정,(주)필그린월드와이드의 경고심의요청에 대한 건,그린
2015-05-11,2013구사2541,의결2015-157,시정명령,(주)귀뚜라미 및 (주)귀뚜라미홈시스의 부당한 광고행위에 대한 건,환경
2015-03-02,2013서소2940,의결2015-054,시정명령,(주)락앤락의 부당한 광고행위에 대한 건,환경
2015-02-10,2013서소3197,약식2015-030,시정명령,(주)볼보자동차코리아의 부당한 광고행위에 대한 건,환경
2015-02-03,2014안정1194,의결2015-021,과징금,휠라코리아(주)의 부당한 광고행위에 대한 건,환경
2015-02-03,2014안정1192,의결2015-026,과징금,핏플랍리미티드 및 (주)넥솔브의 부당한 광고행위에 대한 건,환경
2015-02-03,2014안정1196,의결2015-033,과징금,(주)화승의 부당한 광고행위에 대한 건,환경
2015-01-15,2014안정1193,의결2015-013,과징금,뉴발란스애쓸레틱슈인크 및 (주)이랜드월드의 부당한 광고행위에 대한 건,환경
2015-01-13,2014안정1197,의결2015-005,과징금,(주)이랜드월드의 부당한 광고행위에 대한 건,환경
2015-01-09,2014안정1105,약식2015-004,시정명령,(주)대경씨앤디의 부당한 광고행위에 대한 건,환경
2015-01-09,2014안정1123,약식2015-009,시정명령,(주)유탑엔지니어링건축사사무소 및 동보엔지니어링(주)의 부당한 광고행위에 대한 건,환경
2015-01-09,2014안정1110,약식2015-007,시정명령,(주)미니스트리의 부당한 광고행위에 대한 건,환경
2015-01-09,2014안정1111,약식2015-010,시정명령,(주)아이콘아이앤씨의 부당한 광고행위에 대한 건,그린
2014-12-01,2014안정1190,의결2014-267,과징금,리복인터내셔널엘티디 및 아디다스코리아(주)의 부당한 광고행위에 대한 건,환경
2014-01-13,2013안정2274,약식2014-025,시정명령,라피앙스의원의 부당한 광고행위에 대한 건,환경
2014-01-13,2013안정2271,약식2014-022,시정명령,미래의원의 부당한 광고행위에 대한 건,환경
2013-12-03,2012서소3521,의결2013-196,시정명령,브리티쉬아메리칸토바코코리아(주)의 부당한 표시행위에 대한 건,탄소
2013-05-23,2013소심1167,재결2013-008,재결기각,(주)지앤씨코리아의 부당한 표시.광고행위에 대한 건 관련 이의신청에 대한 건,친환경
2013-03-29,2011안정2153,의결2013-061,시정명령,(주)지앤씨코리아의 부당한 표시·광고행위에 대한 건,환경
2013-03-25,2012서소2401,약식2013-040,시정명령,(주)에프앤디파트너의 부당한 광고행위에 대한 건,환경
2013-03-21,2013안정0181,약식2013-048,시정명령,진성학원의 부당한 광고행위에 대한 건,환경
2013-03-21,2013안정0182,약식2013-049,시정명령,(주)이과전문학원펜타스의 부당한 광고행위에 대한 건,환경
2013-03-21,2013안정0174,약식2013-043,시정명령,(주)현현교육의 부당한 광고행위에 대한 건,환경
2013-03-21,2013안정0185,약식2013-051,시정명령,(주)스타강사연합의 부당한 광고행위에 대한 건,환경
