의결일,사건번호,의결번호,조치,사건명,수집키워드
2007-07-26,2006서소2676,의결2007-376,시정명령,(주)두산의 부당한 광고행위에 대한 건,탄소
2007-07-26,2006서소2674,의결2007-377,시정명령,(주)진로의 부당한 광고행위에 대한 건,탄소
2006-12-11,2006심삼2390,재결2006-050,일부인용,(주)대교디앤에스의 이의신청에 대한 건,환경
2006-11-07,2006부사1799,의결2006-258,시정명령,(주)대한리츠 및 (주)영조주택의 부당한 광고행위에 대한 건,환경
2006-09-27,2006전사0780,약식2006-327,시정명령,(주)더존이앤씨의 부당한 광고행위에 대한건,환경
2006-08-25,2006서소0446,의결2006-178,시정명령,알미늄압출공업성실신고회원조합의 부당한 광고행위에 대한 건,환경
2006-07-26,2006소정0126,약식2006-259,시정명령,쌍용건설(주)의 부당한 광고행위에 대한 건,환경
2006-07-03,2006소정0049,의결2006-158,시정명령,(주)네츄럴하우징의 부당한 광고행위에 대한 건,환경
2006-05-22,2004광고2047,약식2006-221,시정명령,건원기업(주)의 부당한 광고행위에 대한 건,환경
2006-03-02,2005부사1483,의결2006-044,시정명령,(주)개미마을의 부당한 광고행위에 대한 건,환경
2006-02-22,2005광사4206,약식2006-038,시정명령,그린섬미술학원의 부당한 광고행위에 대한 건,그린
2005-11-15,2005전사2135,약식2005-254,시정명령,신동아건설(주)의 부당한 광고행위 및 중요한 표시·광고사항고시 위반행위에 대한 건,환경
2005-11-15,2005구사2126,약식2005-277,시정명령,대한토지신탁(주)의 부당한 광고행위에 대한 건,친환경
2005-10-11,2005광고0349,약식2005-216,시정명령,(주)삼광하이텍의 부당한 광고행위에 대한 건,그린
2005-05-10,2004전보1966,약식2005-105,시정명령,(주)장수산업의 부당한 광고행위에 대한 건,환경
2005-05-10,2004전보1965,약식2005-106,시정명령,(주)지에스홈쇼핑의 부당한 광고행위 및 부당한 경품류제공행위에 대한 건,환경
2005-05-10,2004전보1964,약식2005-107,시정명령,(주)씨제이홈쇼핑의 부당한 광고행위 및 부당한 경품류제공행위에 대한 건,환경
2004-04-01,2003광사1928,의결2004-156,시정명령,반도호이스트크레인의 부당한 광고행위에 대한 건,환경
2004-03-26,2003부사1803,약식2004-073,시정명령,(주)케이와이건설 및 (주)건설알포메의 부당한 광고행위에 대한 건,환경
2004-03-03,2003심삼2244,재결2004-007,재결기각,(주)씨엔디에프코리아의 이의신청에 대한 건,환경
2004-02-02,2003광고3072,의결2004-032,시정명령,(주)동보주택건설의 부당한 광고행위에 대한 건,환경
2003-11-07,2003부사0508,의결2003-185,시정명령,수도그룹의 부당한 광고행위에 대한 건,환경
